,Microbe_0,Microbe_1,Microbe_2,Microbe_3,Microbe_4,Microbe_5,Microbe_6,Microbe_7,Microbe_8,Microbe_9,Microbe_10,Microbe_11,Microbe_12,Microbe_13,Microbe_14,Microbe_15,Microbe_16,Microbe_17,Microbe_18,Microbe_19,Microbe_20,Microbe_21,Microbe_22,Microbe_23,Microbe_24,Microbe_25,Microbe_26,Microbe_27,Microbe_28,Microbe_29,Microbe_30,Microbe_31,Microbe_32,Microbe_33,Microbe_34,Microbe_35,Microbe_36,Microbe_37,Microbe_38,Microbe_39,Microbe_40,Microbe_41,Microbe_42,Microbe_43,Microbe_44,Microbe_45,Microbe_46,Microbe_47,Microbe_48,Microbe_49,Microbe_50,Microbe_51,Microbe_52,Microbe_53,Microbe_54,Microbe_55,Microbe_56,Microbe_57,Microbe_58,Microbe_59,Microbe_60,Microbe_61,Microbe_62,Microbe_63,Microbe_64,Microbe_65,Microbe_66,Microbe_67,Microbe_68,Microbe_69,Microbe_70,Microbe_71,Microbe_72,Microbe_73,Microbe_74,Microbe_75,Microbe_76,Microbe_77,Microbe_78,Microbe_79,Microbe_80,Microbe_81,Microbe_82,Microbe_83,Microbe_84,Microbe_85,Microbe_86,Microbe_87,Microbe_88,Microbe_89,Microbe_90,Microbe_91,Microbe_92,Microbe_93,Microbe_94,Microbe_95,Microbe_96,Microbe_97,Microbe_98,Microbe_99,Microbe_100,Microbe_101,Microbe_102,Microbe_103,Microbe_104,Microbe_105,Microbe_106,Microbe_107,Microbe_108,Microbe_109,Microbe_110,Microbe_111,Microbe_112,Microbe_113,Microbe_114,Microbe_115,Microbe_116,Microbe_117,Microbe_118,Microbe_119,Group
Patient_102,55,58,60,50,62,47,60,63,50,38,40,61,61,52,58,48,52,56,64,46,57,43,50,57,58,60,61,48,60,50,58,63,63,54,48,60,46,54,61,51,59,45,44,56,58,55,33,56,32,63,50,52,63,43,41,40,62,47,55,53,62,47,52,54,46,50,55,37,30,38,57,59,51,58,42,57,58,57,50,57,58,52,59,63,61,46,57,48,59,59,59,26,46,28,47,60,62,54,41,44,52,47,58,46,32,57,38,53,42,47,62,49,64,46,46,40,32,51,55,40,control
Patient_103,85,61,61,56,61,60,62,63,57,45,50,62,65,62,62,54,41,62,62,46,59,50,58,59,57,61,61,59,65,81,61,60,63,57,62,59,59,72,61,55,60,46,52,63,60,60,80,71,81,63,59,74,64,47,50,40,59,48,85,72,62,30,55,60,58,59,57,45,82,48,62,59,56,59,84,63,63,60,57,77,64,84,63,64,60,58,59,32,60,62,65,84,35,85,38,60,61,52,48,84,57,60,61,58,83,60,44,70,81,83,60,58,61,39,68,44,50,56,58,57,control
Patient_104,77,66,63,57,64,62,63,69,61,36,39,64,65,63,64,64,48,66,67,36,68,57,62,69,64,67,68,62,62,78,68,62,62,62,63,62,63,52,66,55,68,37,59,66,67,67,77,80,65,66,56,88,64,39,39,41,66,39,75,87,62,48,53,66,68,63,68,38,83,40,65,66,58,65,75,66,65,67,56,91,65,69,65,66,66,68,67,48,66,68,69,74,47,71,48,66,67,60,37,75,69,63,69,54,75,72,42,80,84,76,62,64,66,49,83,40,35,54,71,66,control
Patient_105,73,72,69,57,68,55,67,71,56,42,45,71,70,58,70,58,54,69,68,43,69,56,60,68,67,67,66,60,71,77,72,63,68,59,54,70,59,55,70,59,66,34,55,68,71,70,72,80,70,69,52,83,69,44,46,48,67,39,73,78,68,50,50,72,54,59,66,42,75,47,67,64,54,63,77,69,66,70,52,81,69,69,69,67,68,60,62,55,67,71,71,75,46,73,43,72,71,51,49,76,57,63,69,56,72,70,45,77,76,72,66,59,69,55,81,44,36,53,68,60,control
Patient_106,80,65,65,50,63,53,60,63,51,51,48,65,66,51,64,53,42,59,64,61,59,47,55,57,61,58,57,50,61,82,64,52,63,49,50,62,50,49,62,54,59,49,53,59,66,66,81,69,82,62,46,72,59,53,53,53,59,56,82,73,63,48,52,58,50,54,61,54,85,54,63,57,53,54,78,61,64,67,51,71,60,83,59,57,62,54,53,49,56,62,63,80,48,84,45,62,61,50,55,79,53,53,59,51,83,62,57,69,86,82,63,51,64,47,67,57,44,50,59,53,control
Patient_107,59,63,62,63,67,64,67,60,62,50,40,63,63,68,63,63,42,67,63,41,63,55,65,66,62,64,68,63,66,60,61,72,60,63,68,60,65,67,65,63,66,47,64,65,58,62,37,61,44,62,64,61,66,47,41,48,67,41,62,59,62,54,63,62,67,64,69,43,29,42,65,66,64,66,49,64,66,61,65,58,62,60,65,67,68,63,66,43,71,65,64,36,39,35,48,62,64,64,42,28,65,62,67,67,31,62,42,60,35,40,66,67,64,44,32,45,45,66,65,70,control
Patient_108,72,60,62,40,59,42,60,63,39,45,46,61,60,38,62,40,47,59,64,40,62,44,38,56,58,57,59,40,60,72,61,58,62,40,36,58,41,47,64,41,58,43,39,63,64,59,69,71,73,63,45,70,61,45,43,45,62,39,73,68,64,38,47,58,41,38,56,46,67,45,60,61,41,52,71,59,64,60,44,69,59,76,61,60,59,36,56,36,57,60,60,72,35,74,39,59,64,40,31,72,36,36,60,43,72,60,31,73,67,71,58,40,60,40,68,38,43,40,57,37,control
Patient_109,55,64,68,51,68,56,60,64,54,45,47,68,66,56,67,54,48,66,64,41,62,50,55,58,64,64,57,53,64,46,63,57,69,52,52,68,59,52,62,52,61,45,46,64,60,65,20,47,30,65,46,45,64,39,42,45,62,43,58,46,68,43,45,63,50,55,55,46,28,45,63,59,49,59,47,65,67,65,48,45,63,45,59,61,64,56,56,54,60,64,62,31,47,27,51,62,62,45,50,32,58,56,60,57,42,65,46,60,36,38,65,52,67,55,25,46,46,50,61,62,control
Patient_110,67,73,72,61,70,60,63,71,60,17,19,71,68,62,74,66,54,72,72,44,71,55,63,65,70,67,64,60,69,67,73,59,71,62,62,68,58,55,68,56,67,15,60,69,76,73,68,83,70,71,54,82,68,20,40,20,66,40,67,81,68,45,54,72,64,62,66,24,66,25,71,65,58,62,70,69,67,72,58,82,72,70,68,62,67,71,63,57,64,71,73,68,47,70,56,73,71,57,51,70,69,68,68,56,69,75,54,83,67,70,66,62,71,54,83,55,19,56,74,62,control
Patient_111,48,61,63,55,61,54,55,62,54,42,42,65,61,48,62,51,46,57,61,45,59,49,52,55,62,59,54,53,57,46,62,53,62,50,48,65,53,53,60,52,55,41,51,58,60,60,30,49,29,60,50,47,58,35,45,43,57,53,47,47,61,35,50,58,49,53,55,43,26,42,58,56,52,52,38,60,60,61,53,50,62,44,57,56,60,50,52,51,54,57,60,24,45,29,49,62,58,49,44,40,50,46,57,57,24,59,52,48,38,38,61,49,62,47,42,49,41,55,55,49,control
Patient_112,51,60,61,50,58,51,59,59,50,56,55,54,60,54,60,54,54,64,63,55,59,47,54,57,57,60,59,53,59,48,57,54,59,50,54,55,54,58,60,50,60,53,50,61,63,62,24,58,31,64,51,52,59,52,52,53,61,54,50,50,58,51,51,62,56,55,55,52,20,52,63,60,46,59,47,59,59,57,48,57,57,56,61,55,60,59,59,49,56,62,61,34,46,21,45,57,61,49,54,24,60,59,62,48,12,61,53,56,31,34,60,53,58,47,33,54,48,46,61,55,control
Patient_113,66,79,80,55,81,54,78,84,56,58,51,84,79,57,82,51,46,74,82,45,77,58,50,70,80,80,76,54,79,66,80,70,81,61,57,79,52,63,83,54,76,54,54,76,77,80,68,80,61,82,53,82,79,53,49,52,78,45,62,85,81,46,56,75,54,54,69,53,72,49,78,80,56,71,62,79,78,79,54,80,79,62,78,78,77,56,74,39,73,79,80,64,46,63,43,81,77,52,41,63,54,52,75,53,64,78,49,84,70,66,82,50,82,45,80,46,56,52,76,45,control
Patient_114,50,65,65,54,63,56,65,63,60,50,48,65,62,59,66,60,44,62,67,44,66,54,59,65,62,62,61,60,61,60,67,61,64,62,60,65,63,46,63,54,62,53,55,66,66,65,16,58,23,63,58,61,64,49,49,49,61,44,47,55,65,50,52,64,63,58,60,46,30,49,65,62,56,59,46,64,65,65,56,58,62,60,64,63,59,62,60,43,61,64,63,28,42,26,44,67,63,55,46,37,60,63,63,52,24,65,46,54,40,43,63,60,61,51,33,43,43,55,66,59,control
Patient_115,74,63,62,63,61,64,69,62,62,43,51,62,65,65,62,64,38,64,64,41,65,54,64,67,64,67,69,63,62,74,62,70,62,61,65,64,65,59,62,64,68,41,65,67,61,65,70,56,74,63,62,54,66,42,47,35,67,41,71,56,63,40,61,66,66,64,69,47,68,43,69,66,64,64,75,60,63,65,65,58,62,71,64,66,65,62,65,34,69,67,64,71,41,72,45,63,67,61,44,73,62,64,70,64,74,64,41,52,71,71,62,65,61,41,54,43,42,64,68,76,control
Patient_116,77,64,66,58,68,59,67,64,57,58,55,67,64,65,66,60,44,67,69,61,69,57,59,65,64,66,66,61,67,78,67,72,69,59,61,63,60,59,69,61,65,59,53,66,67,66,75,63,85,68,59,61,68,61,60,63,67,57,80,58,69,42,59,66,66,61,65,61,73,64,67,68,52,66,87,67,66,65,56,60,67,81,70,65,68,63,71,41,66,68,67,81,44,83,38,67,69,59,61,84,68,67,68,53,78,68,52,59,74,80,64,61,65,47,60,58,58,56,66,60,control
Patient_117,58,65,67,70,69,67,67,65,70,29,30,65,66,68,67,67,46,64,70,41,68,53,68,68,69,66,67,67,71,58,68,66,66,72,66,65,66,60,67,67,68,35,71,64,69,67,59,59,56,67,66,60,69,32,38,31,64,40,56,63,69,50,68,66,67,68,65,32,60,33,68,66,67,68,57,66,68,67,67,59,66,57,66,65,66,69,68,51,65,66,66,57,50,56,47,69,66,72,41,56,68,70,65,68,56,65,42,59,63,58,68,64,66,51,57,40,34,66,68,61,control
Patient_118,80,60,61,54,63,52,63,61,52,43,41,60,63,56,62,51,42,60,62,41,60,49,52,63,61,62,64,51,63,77,59,63,63,53,57,64,54,50,62,54,62,42,52,61,57,60,75,54,83,61,51,55,63,44,46,42,64,47,82,55,60,39,53,60,50,55,63,41,72,44,60,60,53,60,82,62,62,59,55,59,62,84,61,64,64,51,62,44,64,63,64,81,47,84,46,58,63,51,47,82,50,53,61,55,81,62,41,51,72,80,65,51,64,45,49,43,49,54,60,58,control
Patient_119,85,70,72,56,68,55,65,70,55,49,48,69,70,57,68,59,51,70,72,49,68,53,58,65,70,71,69,57,65,85,65,65,70,53,59,69,59,55,70,56,68,54,50,69,70,72,86,80,88,71,55,79,69,46,44,53,69,46,90,80,72,54,50,69,59,58,65,44,82,50,66,67,51,64,88,69,68,69,50,82,67,91,68,66,67,54,65,54,65,69,71,89,50,88,48,67,67,55,51,91,63,58,70,54,86,70,45,77,83,87,69,54,70,57,79,49,47,52,69,58,control
Patient_120,79,64,63,59,62,64,66,66,64,38,39,64,62,62,59,63,49,65,67,42,68,54,62,64,67,68,67,62,57,76,63,61,61,64,63,66,62,59,65,62,69,40,64,68,66,63,77,70,78,68,62,71,68,39,43,40,67,44,77,72,64,44,59,66,67,62,64,44,77,39,64,67,59,64,74,61,63,64,61,74,60,79,67,66,62,62,66,52,68,65,65,78,42,80,53,61,64,65,51,77,63,60,67,62,79,67,53,72,75,79,67,62,65,48,68,46,36,60,66,60,control
Patient_121,74,56,58,55,58,58,61,58,58,43,36,58,58,54,56,57,45,61,57,47,60,46,55,60,58,57,63,54,57,76,60,59,59,58,55,61,57,43,58,57,62,41,58,58,60,57,76,68,80,57,56,68,57,40,45,45,63,42,82,66,55,46,52,62,57,57,63,39,75,38,58,60,54,58,82,56,57,60,54,65,55,81,59,58,55,62,59,46,59,58,58,80,55,81,46,56,57,57,51,79,58,56,60,54,76,58,45,72,73,76,58,55,56,44,69,50,39,55,63,52,control
Patient_122,76,56,59,65,57,68,57,57,68,41,42,56,57,70,57,72,48,61,58,43,63,53,71,65,53,60,58,66,58,75,57,60,55,60,71,51,70,62,56,60,60,40,66,59,60,54,76,67,68,58,65,70,56,36,44,41,59,48,67,69,55,43,63,59,75,68,59,40,79,42,57,57,63,57,66,57,58,57,64,70,58,69,61,57,60,71,60,50,60,59,61,67,46,71,51,59,62,68,46,65,70,71,60,64,75,63,47,67,79,76,55,71,56,45,63,46,42,65,61,78,control
Patient_123,69,68,67,63,67,62,64,66,63,58,52,67,66,60,66,65,25,66,65,55,64,52,62,65,69,66,63,64,64,71,66,61,65,59,62,70,63,58,64,66,67,58,63,65,65,68,70,66,75,66,62,66,63,58,44,59,63,50,74,65,66,35,59,64,63,60,64,55,71,55,65,64,65,63,74,64,63,69,62,67,68,73,63,63,62,64,63,29,63,63,66,76,32,72,31,64,63,63,48,76,66,64,64,65,70,66,46,61,70,69,67,63,63,33,65,47,59,60,67,63,control
Patient_124,57,62,63,66,65,67,59,63,65,41,45,61,66,68,60,69,45,61,63,53,60,48,68,61,64,59,57,67,65,55,61,59,67,61,71,64,68,70,61,69,62,48,71,56,60,64,52,56,59,64,69,57,59,40,53,47,60,46,59,53,63,47,69,57,70,69,55,46,57,43,59,56,70,63,51,63,69,63,70,57,63,57,57,59,61,66,59,46,59,59,62,51,46,50,42,62,57,72,52,35,69,67,57,71,45,63,50,59,35,37,68,67,62,44,40,52,41,66,59,69,control
Patient_125,95,60,62,58,61,59,63,60,58,34,42,60,59,57,61,61,46,63,63,41,67,50,59,62,62,64,63,58,57,97,63,62,59,60,56,62,62,47,61,57,64,38,61,64,66,61,98,94,92,60,57,95,64,39,41,36,67,40,93,91,60,47,55,68,57,59,67,42,99,41,63,64,57,61,95,58,62,64,55,92,55,93,61,63,60,63,61,41,61,63,59,93,49,94,45,58,63,55,40,94,55,60,64,54,97,59,42,93,99,97,56,59,60,47,93,40,39,59,64,54,control
Patient_126,58,62,63,59,64,61,65,63,60,39,39,64,63,57,64,60,42,61,61,44,61,49,61,64,63,62,68,60,67,60,67,65,64,61,55,61,60,59,66,61,64,38,60,62,66,61,65,66,59,63,64,65,65,40,42,37,65,43,56,65,62,42,64,62,56,60,66,39,61,40,63,62,63,64,54,64,62,60,62,60,63,57,61,65,64,61,66,44,65,65,68,54,48,60,46,64,61,61,40,52,58,60,66,63,60,64,43,71,62,63,61,59,65,38,68,43,40,63,62,57,control
Patient_127,56,63,63,60,61,63,59,58,65,35,39,60,62,51,60,57,50,63,59,39,62,52,55,60,65,62,61,58,61,54,61,58,58,65,56,64,60,60,59,62,61,28,59,61,60,64,52,54,55,63,59,57,59,37,46,39,61,45,56,58,58,52,63,63,54,58,58,36,56,40,61,60,62,57,56,61,64,66,64,60,59,57,55,60,61,62,58,52,61,56,63,58,51,53,51,59,59,57,46,58,53,59,57,66,54,63,45,53,56,55,63,57,62,48,52,46,35,59,64,52,control
Patient_128,57,67,66,46,67,51,60,68,54,41,45,67,69,57,65,50,45,66,70,41,66,54,53,65,68,67,66,50,65,46,66,60,66,50,55,66,55,51,67,46,66,45,48,66,68,68,33,45,30,68,48,47,67,41,42,43,68,41,60,44,68,43,44,64,54,52,62,41,29,42,63,64,48,64,41,68,69,68,50,42,66,49,65,66,67,51,64,50,68,68,70,37,47,30,50,66,66,50,42,42,58,46,66,53,29,67,43,58,47,44,68,48,71,47,45,46,49,45,64,57,control
Patient_129,61,69,70,59,67,57,66,71,61,56,51,69,71,61,71,64,37,70,72,50,68,60,63,66,69,69,68,61,74,54,70,67,68,64,61,66,64,58,68,59,70,53,60,66,72,72,51,55,42,71,58,58,66,56,45,61,67,45,61,54,68,39,57,70,64,61,67,54,45,48,68,67,56,68,48,71,70,71,53,55,70,51,66,64,68,69,69,46,73,71,71,41,33,40,39,69,70,59,50,36,66,66,72,59,44,73,56,59,21,32,70,60,72,44,40,54,49,55,72,66,control
Patient_130,71,53,55,76,52,70,56,52,70,36,34,53,55,65,53,67,42,56,54,43,56,46,66,59,55,55,57,69,49,72,56,55,52,69,67,57,65,65,53,73,56,41,74,56,57,54,74,59,72,53,68,62,54,39,38,34,56,45,77,60,52,41,73,56,63,69,59,39,72,40,58,55,73,59,72,52,56,53,73,59,53,73,55,56,56,68,56,37,57,57,53,74,36,74,44,56,53,72,51,71,66,67,56,68,72,54,46,59,72,73,54,69,53,43,59,56,34,71,57,72,control
Patient_131,86,61,61,55,63,57,66,64,57,48,51,65,62,56,60,53,48,63,65,49,67,52,56,62,60,63,66,55,64,86,62,70,65,57,55,58,56,58,65,54,65,45,49,65,64,59,87,69,85,63,55,72,66,41,48,45,64,45,83,73,62,52,55,59,53,54,65,45,89,42,66,66,52,63,84,63,62,59,52,70,65,83,67,65,64,54,69,46,70,66,63,83,46,86,50,65,66,56,45,84,59,56,66,55,86,62,45,69,88,88,62,55,62,45,69,46,39,57,61,58,control
Patient_132,60,60,59,59,58,53,61,58,57,36,33,59,57,57,60,58,54,58,58,45,63,51,56,63,61,64,61,57,57,68,56,65,56,57,53,61,57,60,61,60,59,33,57,61,58,57,22,64,31,59,59,63,59,35,40,33,60,40,59,63,58,37,57,59,57,52,60,37,27,35,59,63,56,60,52,59,56,60,59,61,58,61,62,62,58,56,62,46,58,56,59,28,44,31,50,60,61,59,49,32,58,58,60,60,31,59,45,59,43,40,59,58,55,53,39,50,41,59,60,57,control
Patient_133,63,65,68,66,66,63,67,69,62,52,44,66,65,61,64,58,57,64,66,46,65,56,59,61,66,65,66,63,63,63,64,65,66,66,59,67,56,71,68,65,63,44,63,65,62,66,65,62,69,68,65,65,66,40,46,42,64,52,70,63,66,57,66,64,55,58,63,48,61,46,62,68,66,64,70,62,63,65,66,65,67,71,65,67,66,59,62,53,64,63,64,72,55,71,60,66,64,65,48,71,56,55,64,63,66,67,45,59,60,66,67,63,67,49,58,49,51,67,61,59,control
Patient_134,82,63,64,59,67,57,66,69,60,55,48,65,69,61,67,60,36,62,68,43,65,55,63,66,63,64,65,57,69,83,64,67,70,62,60,63,56,55,65,61,65,51,55,63,68,65,84,56,80,66,58,60,67,49,40,54,64,40,84,61,70,43,59,63,58,62,62,47,81,46,65,63,59,62,84,66,65,65,57,57,70,84,64,64,65,61,66,35,65,67,68,82,39,86,38,66,70,57,44,80,56,61,66,64,81,64,36,55,81,86,64,57,65,36,53,41,51,59,64,59,control
Patient_135,72,65,67,61,67,64,66,67,63,51,50,70,69,62,67,63,44,66,68,45,69,54,62,71,68,68,68,61,65,72,66,67,69,61,62,66,64,61,69,62,67,46,63,70,68,67,73,64,80,68,58,60,70,50,51,51,71,48,79,62,69,40,55,70,59,65,69,49,67,52,68,67,61,66,78,69,68,66,60,53,68,79,69,68,68,63,66,38,69,70,69,77,43,79,42,69,70,62,48,77,62,62,68,63,74,66,47,67,71,76,65,62,67,45,67,41,53,61,69,70,control
Patient_136,50,66,61,58,60,55,63,66,60,49,48,65,65,54,64,55,38,63,65,42,64,52,55,63,67,66,62,53,57,46,63,60,61,61,55,65,52,54,64,57,66,50,56,64,65,67,42,49,35,64,50,44,66,53,45,48,67,41,48,50,62,42,52,67,52,55,65,52,37,53,65,64,56,60,46,58,60,68,55,52,63,47,63,62,63,57,60,40,62,61,65,41,43,45,36,63,63,53,42,26,53,55,64,57,43,61,39,48,35,24,64,54,68,38,39,45,49,54,66,57,control
Patient_137,83,51,53,70,52,68,58,50,67,48,51,54,53,66,52,69,44,55,52,40,54,48,69,58,48,55,55,72,55,86,51,59,52,66,65,50,63,63,48,71,55,42,69,51,51,52,85,68,83,51,69,66,55,43,42,47,54,39,79,65,52,50,74,54,63,71,56,44,80,44,56,54,68,62,83,54,49,49,68,65,57,83,56,56,59,67,58,46,59,56,53,80,42,83,49,55,59,69,40,78,65,71,54,61,84,53,41,67,85,84,49,68,51,47,66,36,50,71,54,72,control
Patient_138,73,64,64,45,62,47,61,65,47,62,54,65,62,49,64,48,51,60,65,45,59,48,48,53,63,59,59,46,64,74,60,57,61,56,49,62,50,47,62,49,59,58,48,60,62,65,75,78,70,63,43,84,60,56,43,58,58,51,75,84,60,50,43,58,50,47,57,54,77,54,62,58,46,54,72,60,67,65,44,83,62,73,59,58,60,52,54,44,59,62,62,75,44,73,45,63,59,43,53,76,51,47,58,53,74,60,45,79,76,73,66,48,65,49,79,45,54,48,58,49,control
Patient_139,88,60,62,62,66,62,61,59,63,33,35,63,64,62,61,62,50,58,58,41,59,48,59,60,60,61,60,63,64,89,59,63,66,61,59,60,62,69,62,65,59,42,61,59,57,59,88,83,90,60,63,83,62,36,41,38,62,34,89,84,65,45,65,60,60,60,61,39,83,38,62,61,63,61,94,64,64,60,65,82,65,90,59,62,63,58,60,47,61,61,61,92,44,90,46,64,62,62,40,94,58,59,59,62,90,58,40,79,85,89,60,60,61,55,83,39,35,67,56,55,control
Patient_140,58,58,59,82,62,82,69,59,82,45,43,57,61,79,60,81,48,64,60,44,65,55,84,75,59,65,73,83,61,56,63,76,61,77,81,58,76,82,62,82,68,50,81,63,62,59,22,51,22,62,82,57,63,54,45,48,67,45,56,48,61,52,86,63,83,84,72,49,24,42,65,67,85,74,51,61,56,59,83,49,63,51,66,70,68,79,74,49,72,66,63,26,48,36,43,62,67,83,43,22,81,84,68,77,27,62,46,56,36,36,58,83,57,49,30,38,37,82,67,84,control
Patient_141,55,63,63,72,61,72,59,62,71,50,53,62,57,65,60,70,47,63,62,48,64,55,70,60,63,62,61,69,61,58,62,61,60,69,68,59,66,71,63,71,61,51,71,64,62,62,27,65,36,63,73,57,63,47,57,45,61,53,51,66,61,42,73,63,69,68,59,50,28,53,61,60,74,60,44,60,59,60,72,67,61,62,60,61,60,64,61,45,60,60,62,34,46,38,44,62,64,74,41,39,67,70,60,69,42,63,49,50,47,48,59,72,61,42,45,50,44,73,63,64,control
Patient_142,51,68,70,52,69,52,62,68,49,34,35,70,69,48,70,52,53,64,69,40,64,50,47,55,69,63,58,50,65,57,68,57,69,51,50,70,50,50,66,52,62,33,53,65,69,70,33,56,45,64,50,58,64,36,38,36,64,41,49,52,67,44,50,67,44,50,61,34,44,37,65,59,52,54,46,68,68,69,49,54,69,53,63,62,64,48,54,51,58,65,64,51,50,37,56,69,63,47,43,19,45,45,61,51,33,66,48,47,25,33,68,48,69,54,27,44,36,53,62,49,control
Patient_143,52,64,67,53,61,55,65,66,54,40,41,67,64,54,64,55,39,65,66,42,63,52,53,61,64,65,65,53,64,54,64,61,66,53,51,64,52,54,67,53,65,36,51,65,65,64,53,56,53,66,52,56,63,44,45,39,63,48,48,55,64,46,49,63,51,53,66,40,53,41,65,61,50,60,43,61,63,64,52,61,63,55,66,62,64,55,63,42,64,65,67,48,42,46,50,64,64,48,44,16,54,51,65,54,44,65,43,53,26,29,63,53,64,41,19,44,46,53,63,54,control
Patient_144,50,61,64,80,65,77,67,59,76,53,44,63,65,78,64,79,38,66,66,48,65,58,79,68,66,66,68,77,66,55,64,72,65,76,76,65,79,72,62,78,66,48,81,64,61,61,25,65,21,62,82,59,64,49,43,46,63,50,50,60,66,43,80,66,78,79,71,52,22,52,65,68,79,70,47,62,64,62,80,65,65,59,62,67,65,76,70,42,69,69,62,30,51,25,41,63,64,80,42,31,78,76,64,80,19,60,47,51,28,23,63,79,62,37,37,44,51,79,65,78,control
Patient_145,55,51,50,54,54,52,54,51,52,53,54,50,52,57,50,53,47,53,54,47,53,44,55,51,50,53,52,58,54,58,52,53,54,53,54,49,55,57,55,54,49,55,55,53,51,53,52,58,52,54,55,62,53,47,50,54,53,45,52,53,53,50,55,52,55,55,51,50,42,56,50,53,52,54,45,52,50,51,56,59,50,58,56,52,54,57,52,49,54,54,50,57,47,45,48,53,53,55,52,41,53,56,52,50,58,50,45,58,30,31,52,56,51,49,20,49,48,54,49,59,control
Patient_146,52,62,62,64,64,62,63,63,61,49,49,61,60,67,65,63,37,67,62,44,64,53,64,63,58,67,63,65,62,57,63,63,65,63,64,61,64,63,64,64,64,51,60,68,64,64,42,53,37,64,61,50,66,53,43,55,62,50,51,56,65,41,64,67,63,66,61,48,42,43,67,63,61,64,46,64,62,61,65,55,65,52,65,64,66,65,64,36,62,62,64,42,43,42,40,64,68,62,39,47,70,67,65,59,38,63,47,47,35,47,60,66,58,38,45,45,47,61,65,64,control
Patient_147,59,65,67,59,66,59,63,70,56,40,35,67,66,60,65,56,45,64,69,37,66,52,57,61,63,66,63,59,65,63,66,59,68,58,59,63,61,66,65,59,63,36,55,63,69,64,62,86,54,69,57,83,67,34,38,29,63,38,50,86,65,42,56,64,57,58,61,33,66,36,64,63,60,59,55,67,67,63,60,82,67,51,66,63,64,56,62,44,60,66,70,52,47,51,43,65,67,57,37,54,58,56,65,62,59,66,42,90,70,58,67,59,65,43,94,36,39,58,61,60,control
Patient_148,81,59,61,43,57,45,52,58,45,43,45,60,58,47,62,49,46,58,59,41,57,44,44,52,59,57,52,48,55,83,58,48,57,48,42,62,49,43,59,42,55,39,43,56,58,60,78,67,87,59,43,65,57,47,39,39,54,44,82,62,59,54,40,57,46,44,49,44,74,39,57,53,43,51,90,58,58,62,42,62,57,87,56,51,55,51,51,50,47,53,55,85,51,84,48,58,53,42,40,85,51,48,53,46,82,57,39,62,79,83,61,46,55,44,69,36,45,43,58,38,control
Patient_149,46,59,58,64,54,63,59,62,66,42,43,64,53,64,59,67,47,58,60,54,60,52,66,65,58,58,61,60,58,43,61,65,57,62,63,61,61,54,60,61,60,42,60,61,63,57,25,42,21,60,64,43,60,41,50,31,61,48,47,42,55,43,67,61,66,64,61,42,32,41,60,64,60,58,34,58,54,55,64,40,60,41,62,58,58,65,67,50,63,58,61,19,46,35,50,62,63,65,58,44,66,66,64,58,21,60,48,46,37,30,55,66,58,48,40,52,41,63,63,64,control
Patient_150,52,60,63,64,61,63,60,61,64,43,43,61,62,66,60,68,27,61,63,41,60,50,64,61,62,63,61,67,63,51,59,56,61,65,68,61,65,72,61,64,64,42,60,60,59,59,50,54,50,64,61,51,62,40,45,40,59,43,51,52,63,30,61,61,70,68,57,42,53,43,61,62,60,63,52,63,61,65,64,58,61,49,62,60,63,70,59,31,58,61,61,49,39,49,33,60,63,67,41,52,71,70,59,62,53,61,38,50,52,49,59,68,62,33,52,45,40,62,61,68,control
Patient_151,54,61,62,73,63,72,64,61,68,48,51,62,60,66,59,67,37,62,62,47,62,53,70,66,60,60,62,70,61,58,65,61,63,67,69,64,65,71,62,73,63,51,72,62,62,61,31,58,24,61,69,57,60,47,49,41,60,49,53,55,61,44,71,63,65,73,65,46,24,47,61,63,70,64,45,60,62,60,72,59,60,59,63,62,61,68,61,38,58,62,63,25,37,34,43,59,58,72,46,38,67,64,62,66,23,62,47,51,43,50,61,69,60,43,31,44,44,70,61,64,control
Patient_152,57,54,56,74,57,71,56,52,69,49,51,55,54,70,57,70,57,56,53,37,54,51,70,60,56,54,53,70,55,54,53,62,53,71,67,57,64,61,54,71,57,43,70,53,45,53,11,47,20,52,71,48,57,45,47,50,56,46,61,47,55,50,71,54,68,69,58,46,20,43,54,58,73,62,51,53,53,51,73,46,54,49,54,62,56,66,60,57,62,51,52,19,56,31,52,55,53,71,43,32,69,69,55,71,22,57,48,59,36,25,55,70,55,58,24,44,49,77,55,72,control
Patient_153,52,62,65,49,67,50,63,62,49,37,44,64,65,52,63,47,53,64,68,46,61,53,52,58,59,61,60,50,67,65,63,56,68,47,52,63,49,47,65,51,61,47,46,62,63,64,11,57,22,66,47,59,62,41,56,44,62,47,54,57,66,55,50,62,49,52,55,46,17,45,62,60,45,57,46,64,65,62,49,54,65,55,64,59,63,53,57,52,59,65,66,23,48,27,52,63,65,48,52,44,51,47,63,54,18,60,51,51,48,41,63,50,64,56,36,48,39,48,57,52,control
Patient_154,54,58,62,57,61,57,65,60,56,53,47,59,62,56,59,54,45,60,61,49,62,47,57,65,61,61,64,55,59,56,62,64,64,59,53,62,55,52,61,56,63,47,56,62,63,60,52,50,42,59,52,56,62,54,46,43,63,39,54,47,60,50,54,61,51,51,64,46,34,42,61,62,56,60,41,60,62,60,53,51,60,56,62,64,63,57,66,44,65,64,63,51,46,35,46,62,64,55,49,25,53,56,65,61,47,60,38,56,32,23,63,54,59,44,25,46,48,53,61,58,control
